x y z Bx By Bz Ex Ey Ez
-1.000000e+01 -8.064516e+00 -7.419355e+00 3.097561e-08 2.498033e-08 -7.646155e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -6.774194e+00 3.145234e-08 2.536479e-08 -1.133766e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -6.129032e+00 3.147072e-08 2.537962e-08 -1.538806e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -5.483871e+00 3.093953e-08 2.495124e-08 -1.972615e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -4.838710e+00 2.977578e-08 2.401273e-08 -2.424752e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -4.193548e+00 2.791378e-08 2.251111e-08 -2.881422e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -3.548387e+00 2.531494e-08 2.041527e-08 -3.325834e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -2.903226e+00 2.197716e-08 1.772351e-08 -3.739005e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -2.258065e+00 1.794203e-08 1.446938e-08 -4.101036e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -1.612903e+00 1.329839e-08 1.072451e-08 -4.392760e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -9.677419e-01 8.180645e-09 6.597295e-09 -4.597581e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -3.225806e-01 2.761377e-09 2.226917e-09 -4.703249e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 3.225806e-01 -2.761377e-09 -2.226917e-09 -4.703249e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 9.677419e-01 -8.180645e-09 -6.597295e-09 -4.597581e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 1.612903e+00 -1.329839e-08 -1.072451e-08 -4.392760e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 2.258065e+00 -1.794203e-08 -1.446938e-08 -4.101036e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 2.903226e+00 -2.197716e-08 -1.772351e-08 -3.739005e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 3.548387e+00 -2.531494e-08 -2.041527e-08 -3.325834e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 4.193548e+00 -2.791378e-08 -2.251111e-08 -2.881422e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 4.838710e+00 -2.977578e-08 -2.401273e-08 -2.424752e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 5.483871e+00 -3.093953e-08 -2.495124e-08 -1.972615e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 6.129032e+00 -3.147072e-08 -2.537962e-08 -1.538806e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 6.774194e+00 -3.145234e-08 -2.536479e-08 -1.133766e-08 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 7.419355e+00 -3.097561e-08 -2.498033e-08 -7.646155e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 8.064516e+00 -3.013257e-08 -2.430046e-08 -4.354643e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 8.709677e+00 -2.901044e-08 -2.339552e-08 -1.478828e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 9.354839e+00 -2.768800e-08 -2.232903e-08 9.855572e-10 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 1.000000e+01 -2.623357e-08 -2.115610e-08 3.057398e-09 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -1.000000e+01 2.887829e-08 2.142583e-08 4.327236e-09 0.000000e+00 0.000000e+00 0.000000e+00
