x y z Bx By Bz Ex Ey Ez
-1.000000e+01 -7.419355e+00 -8.064516e+00 3.366915e-01 2.498033e-01 -3.475525e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -7.419355e+00 3.479005e-01 2.581197e-01 -7.026322e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -6.774194e+00 3.550844e-01 2.634497e-01 -1.105434e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -6.129032e+00 3.571129e-01 2.649548e-01 -1.552138e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -5.483871e+00 3.528394e-01 2.617841e-01 -2.035354e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -4.838710e+00 3.411921e-01 2.531425e-01 -2.543654e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -4.193548e+00 3.212887e-01 2.383755e-01 -3.061411e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -3.548387e+00 2.925647e-01 2.170641e-01 -3.569117e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -2.903226e+00 2.549001e-01 1.891195e-01 -4.044294e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -2.258065e+00 2.087226e-01 1.548587e-01 -4.463009e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -1.612903e+00 1.550624e-01 1.150463e-01 -4.801932e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -9.677419e-01 9.553999e-02 7.088451e-02 -5.040676e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 -3.225806e-01 3.227557e-02 2.394639e-02 -5.164091e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 3.225806e-01 -3.227557e-02 -2.394639e-02 -5.164091e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 9.677419e-01 -9.553999e-02 -7.088451e-02 -5.040676e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 1.612903e+00 -1.550624e-01 -1.150463e-01 -4.801932e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 2.258065e+00 -2.087226e-01 -1.548587e-01 -4.463009e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 2.903226e+00 -2.549001e-01 -1.891195e-01 -4.044294e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 3.548387e+00 -2.925647e-01 -2.170641e-01 -3.569117e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 4.193548e+00 -3.212887e-01 -2.383755e-01 -3.061411e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 4.838710e+00 -3.411921e-01 -2.531425e-01 -2.543654e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 5.483871e+00 -3.528394e-01 -2.617841e-01 -2.035354e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 6.129032e+00 -3.571129e-01 -2.649548e-01 -1.552138e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 6.774194e+00 -3.550844e-01 -2.634497e-01 -1.105434e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 7.419355e+00 -3.479005e-01 -2.581197e-01 -7.026322e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 8.064516e+00 -3.366915e-01 -2.498033e-01 -3.475525e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 8.709677e+00 -3.225065e-01 -2.392791e-01 -4.110001e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 9.354839e+00 -3.062741e-01 -2.272357e-01 2.180372e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -7.419355e+00 1.000000e+01 -2.887829e-01 -2.142583e-01 4.327236e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -1.000000e+01 3.164247e-01 2.143522e-01 5.707279e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -9.354839e+00 3.372041e-01 2.284286e-01 3.500821e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -8.709677e+00 3.568397e-01 2.417301e-01 7.958192e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -8.064516e+00 3.744326e-01 2.536479e-01 -2.447904e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -7.419355e+00 3.889020e-01 2.634497e-01 -6.254432e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -6.774194e+00 3.990010e-01 2.702910e-01 -1.062368e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -6.129032e+00 4.033582e-01 2.732426e-01 -1.552256e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -5.483871e+00 4.005511e-01 2.713411e-01 -2.087629e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -4.838710e+00 3.892157e-01 2.636623e-01 -2.656153e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -4.193548e+00 3.681891e-01 2.494184e-01 -3.240308e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -3.548387e+00 3.366751e-01 2.280702e-01 -3.817625e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -2.903226e+00 2.944135e-01 1.994414e-01 -4.361681e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -2.258065e+00 2.418230e-01 1.638156e-01 -4.843889e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -1.612903e+00 1.800852e-01 1.219932e-01 -5.236027e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -9.677419e-01 1.111403e-01 7.528862e-02 -5.513199e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 -3.225806e-01 3.757715e-02 2.545549e-02 -5.656775e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -6.774194e+00 3.225806e-01 -3.757715e-02 -2.545549e-02 -5.656775e-01 0.000000e+00 0.000000e+00 0.000000e+00
